FILE,LABEL,VALUE
calculation,to,loc_us-gaap_OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationGainLossBeforeReclassificationAndTax_572d994a-f2c4-4700-89ad-7688ae50b62d
calculation,type,arc
calculation,item_type,calculation_loc
calculation,type,locator
calculation,label,loc_us-gaap_OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIPensionAndOtherPostretirementBenefitPlansForNetGainLossNetOfTax_6df15bed-2505-4390-92d0-1d48613a4578
calculation,href,https://xbrl.fasb.org/us-gaap/2021/elts/us-gaap-2021-01-31.xsd#us-gaap_OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIPensionAndOtherPostretirementBenefitPlansForNetGainLossNetOfTax
calculation,item_type,calculation_calculationArc
calculation,order,2
calculation,weight,-1.0
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_OtherComprehensiveIncomeLossNetOfTax_4042749f-fdfb-497e-830d-39f59bf67938
calculation,to,loc_us-gaap_OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIPensionAndOtherPostretirementBenefitPlansForNetGainLossNetOfTax_6df15bed-2505-4390-92d0-1d48613a4578
calculation,type,arc
calculation,item_type,calculation_loc
calculation,type,locator
calculation,label,loc_us-gaap_ComprehensiveIncomeNetOfTax_59e67ab1-9bd3-41b8-97f1-9d3728fb864f
calculation,href,https://xbrl.fasb.org/us-gaap/2021/elts/us-gaap-2021-01-31.xsd#us-gaap_ComprehensiveIncomeNetOfTax
calculation,item_type,calculation_loc
calculation,type,locator
calculation,label,loc_us-gaap_NetIncomeLoss_6bd0e6b0-da5c-457f-800a-765e0c087410
calculation,href,https://xbrl.fasb.org/us-gaap/2021/elts/us-gaap-2021-01-31.xsd#us-gaap_NetIncomeLoss
calculation,item_type,calculation_calculationArc
calculation,order,1
calculation,weight,1.0
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_ComprehensiveIncomeNetOfTax_59e67ab1-9bd3-41b8-97f1-9d3728fb864f
calculation,to,loc_us-gaap_NetIncomeLoss_6bd0e6b0-da5c-457f-800a-765e0c087410
calculation,type,arc
calculation,item_type,calculation_loc
calculation,type,locator
calculation,label,loc_us-gaap_OtherComprehensiveIncomeLossNetOfTax_77e82707-e0f5-46ca-bd69-187df92a582f
calculation,href,https://xbrl.fasb.org/us-gaap/2021/elts/us-gaap-2021-01-31.xsd#us-gaap_OtherComprehensiveIncomeLossNetOfTax
calculation,item_type,calculation_calculationArc
calculation,order,2
calculation,weight,1.0
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_ComprehensiveIncomeNetOfTax_59e67ab1-9bd3-41b8-97f1-9d3728fb864f
calculation,to,loc_us-gaap_OtherComprehensiveIncomeLossNetOfTax_77e82707-e0f5-46ca-bd69-187df92a582f
calculation,type,arc
calculation,item_type,calculation_loc
calculation,type,locator
calculation,label,loc_us-gaap_CommonStockSharesOutstanding_02fcd193-efd9-4940-98fa-de3dd56e8c7d
calculation,href,https://xbrl.fasb.org/us-gaap/2021/elts/us-gaap-2021-01-31.xsd#us-gaap_CommonStockSharesOutstanding
calculation,item_type,calculation_loc
calculation,type,locator
calculation,label,loc_us-gaap_CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect_4ccfb7e6-0af0-4841-929f-8f1d35344223
calculation,href,https://xbrl.fasb.org/us-gaap/2021/elts/us-gaap-2021-01-31.xsd#us-gaap_CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect
calculation,item_type,calculation_loc
calculation,type,locator
calculation,label,loc_us-gaap_NetCashProvidedByUsedInOperatingActivities_3a7a0f69-3faf-4e71-accd-a726dcc154fc
calculation,href,https://xbrl.fasb.org/us-gaap/2021/elts/us-gaap-2021-01-31.xsd#us-gaap_NetCashProvidedByUsedInOperatingActivities
calculation,item_type,calculation_calculationArc
calculation,order,1
calculation,weight,1.0
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect_4ccfb7e6-0af0-4841-929f-8f1d35344223
calculation,to,loc_us-gaap_NetCashProvidedByUsedInOperatingActivities_3a7a0f69-3faf-4e71-accd-a726dcc154fc
calculation,type,arc
calculation,item_type,calculation_loc
calculation,type,locator
calculation,label,loc_us-gaap_NetCashProvidedByUsedInInvestingActivities_1769d3d3-6c5a-41e0-8180-1d1ca8f2a071
calculation,href,https://xbrl.fasb.org/us-gaap/2021/elts/us-gaap-2021-01-31.xsd#us-gaap_NetCashProvidedByUsedInInvestingActivities
calculation,item_type,calculation_calculationArc
calculation,order,2
calculation,weight,1.0
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect_4ccfb7e6-0af0-4841-929f-8f1d35344223
calculation,to,loc_us-gaap_NetCashProvidedByUsedInInvestingActivities_1769d3d3-6c5a-41e0-8180-1d1ca8f2a071
calculation,type,arc
calculation,item_type,calculation_loc
calculation,type,locator
calculation,label,loc_us-gaap_NetCashProvidedByUsedInFinancingActivities_a56f45b7-09b0-4605-8b74-c2e31593c4c2
calculation,href,https://xbrl.fasb.org/us-gaap/2021/elts/us-gaap-2021-01-31.xsd#us-gaap_NetCashProvidedByUsedInFinancingActivities
calculation,item_type,calculation_calculationArc
calculation,order,3
calculation,weight,1.0
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect_4ccfb7e6-0af0-4841-929f-8f1d35344223
